event_id,incident_date,incident_time,site,department,shift,incident_type,description,injury_outcome,recordable,lost_time,near_miss,potential_sif,severity,frequency,critical_control_verified,inspection_completion_rate,training_compliance_pct,exposure_hours,latitude,longitude,risk_score
HSE-1001,2026-01-01,07:00,Mombasa Depot,Maintenance,Day,Vehicle Interaction,Pedestrian entered forklift travel path at Mombasa Depot during day shift.,First Aid,True,True,False,False,3,3,True,71.0,82.5,859,-4.0435,39.6682,9
HSE-1002,2026-01-01,23:10,Mandera Depot,Logistics,Night,Slip / Trip,Worker slipped near transfer walkway at Mandera Depot during night shift.,Medical Treatment,False,False,False,False,1,1,True,100.0,89.7,1242,3.9373,41.8569,1
HSE-1003,2026-01-02,01:40,Nairobi Depot,Operations,Night,Slip / Trip,Worker slipped near transfer walkway at Nairobi Depot during night shift.,Restricted Work,True,False,False,False,2,3,False,74.1,97.1,1208,-1.2921,36.8219,6
HSE-1004,2026-01-02,10:30,Nyeri Depot,Maintenance,Day,Manual Handling,Manual Handling event reported at Nyeri Depot during day shift.,Medical Treatment,True,False,False,False,2,1,True,96.8,89.9,1164,-0.4201,36.9476,2
HSE-1005,2026-01-03,02:40,Wajir Depot,Operations,Night,Struck By,Struck By event reported at Wajir Depot during night shift.,Lost Time,False,False,False,False,1,5,True,96.7,82.3,1368,1.7471,40.0573,5
HSE-1006,2026-01-03,08:10,Mandera Depot,Logistics,Day,Slip / Trip,Worker slipped near transfer walkway at Mandera Depot during day shift.,Medical Treatment,True,False,False,False,2,4,True,100.0,98.0,962,3.9373,41.8569,8
HSE-1007,2026-01-04,22:30,Nairobi Depot,Operations,Night,Near Miss,Near Miss event reported at Nairobi Depot during night shift.,Near Miss,False,False,True,False,0,4,True,81.8,86.4,985,-1.2921,36.8219,0
HSE-1008,2026-01-04,17:20,Mombasa Depot,Logistics,Day,Equipment Contact,Equipment Contact event reported at Mombasa Depot during day shift.,Medical Treatment,True,False,False,False,2,4,True,100.0,83.5,930,-4.0435,39.6682,8
HSE-1009,2026-01-04,08:10,Nyeri Depot,Logistics,Day,Slip / Trip,Worker slipped near transfer walkway at Nyeri Depot during day shift.,Medical Treatment,True,False,False,False,2,2,True,84.6,97.5,1143,-0.4201,36.9476,4
HSE-1010,2026-01-04,15:00,Kisumu Depot,Operations,Day,Fall From Height,Elevated work task had incomplete edge protection at Kisumu Depot.,Medical Treatment,True,False,False,False,3,5,True,59.3,91.2,1156,-0.0917,34.768,15
HSE-1011,2026-01-05,00:50,Wajir Depot,Logistics,Night,Near Miss,Near Miss event reported at Wajir Depot during night shift.,Near Miss,False,False,True,False,0,2,True,82.6,94.2,1294,1.7471,40.0573,0
HSE-1012,2026-01-06,23:10,Kisumu Depot,Operations,Night,Chemical Exposure,Chemical Exposure event reported at Kisumu Depot during night shift. Credible worst case could be life-altering.,Near Miss,False,False,True,True,4,5,True,100.0,91.0,1091,-0.0917,34.768,20
HSE-1013,2026-01-06,14:50,Mandera Depot,Operations,Day,Struck By,Struck By event reported at Mandera Depot during day shift.,Lost Time,True,False,False,False,3,1,True,89.7,94.9,989,3.9373,41.8569,3
HSE-1014,2026-01-07,09:10,Wajir Depot,Operations,Day,Fall From Height,Elevated work task had incomplete edge protection at Wajir Depot.,First Aid,True,True,False,False,5,2,True,51.6,95.1,874,1.7471,40.0573,10
HSE-1015,2026-01-08,17:00,Kisumu Depot,Operations,Day,Struck By,Struck By event reported at Kisumu Depot during day shift.,Lost Time,False,False,False,False,1,1,True,65.4,94.5,1281,-0.0917,34.768,1
HSE-1016,2026-01-08,06:50,Wajir Depot,Operations,Day,Slip / Trip,Worker slipped near transfer walkway at Wajir Depot during day shift.,Medical Treatment,True,False,False,False,2,2,True,93.1,85.9,1094,1.7471,40.0573,4
HSE-1017,2026-01-09,00:20,Wajir Depot,Maintenance,Night,Slip / Trip,Worker slipped near transfer walkway at Wajir Depot during night shift.,Restricted Work,False,False,False,False,1,3,True,94.1,91.9,1309,1.7471,40.0573,3
HSE-1018,2026-01-10,02:40,Nairobi Depot,Operations,Night,Struck By,Struck By event reported at Nairobi Depot during night shift.,First Aid,True,False,False,False,2,5,True,92.6,83.3,980,-1.2921,36.8219,10
HSE-1019,2026-01-10,23:50,Kisumu Depot,Operations,Night,Manual Handling,Manual Handling event reported at Kisumu Depot during night shift.,Medical Treatment,True,True,False,False,5,5,True,76.9,98.8,983,-0.0917,34.768,25
